Entry	Entry name	Protein names
Q9H1A3	METL9_HUMAN	Methyltransferase-like protein 9 (DORA reverse strand protein) (DREV) (DREV1)
P55081	MFAP1_HUMAN	Microfibrillar-associated protein 1
Q9GZY8	MFF_HUMAN	Mitochondrial fission factor
Q08431	MFGM_HUMAN	Lactadherin (Breast epithelial antigen BA46) (HMFG) (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) [Cleaved into: Lactadherin short form; Medin]
Q8IWA4	MFN1_HUMAN	Mitofusin-1 (EC 3.6.5.-) (Fzo homolog) (Transmembrane GTPase MFN1)
O95140	MFN2_HUMAN	Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2)
Q9H019	MFR1L_HUMAN	Mitochondrial fission regulator 1-like
Q14728	MFS10_HUMAN	Major facilitator superfamily domain-containing protein 10 (Tetracycline transporter-like protein)
Q9H3U5	MFSD1_HUMAN	Major facilitator superfamily domain-containing protein 1 (Smooth muscle cell-associated protein 4) (SMAP-4)
Q9H2D1	MFTC_HUMAN	Mitochondrial folate transporter/carrier (Solute carrier family 25 member 32)
Q8IWI9	MGAP_HUMAN	MAX gene-associated protein (MAX dimerization protein 5)
P26572	MGAT1_HUMAN	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.101) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I) (GNT-I) (GlcNAc-T I)
Q10469	MGAT2_HUMAN	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.143) (Beta-1,2-N-acetylglucosaminyltransferase II) (GlcNAc-T II) (GNT-II) (Mannoside acetylglucosaminyltransferase 2) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase II)
Q86V88	MGDP1_HUMAN	Magnesium-dependent phosphatase 1 (MDP-1) (EC 3.1.3.-) (EC 3.1.3.48)
Q99685	MGLL_HUMAN	Monoglyceride lipase (MGL) (EC 3.1.1.23) (HU-K5) (Lysophospholipase homolog) (Lysophospholipase-like) (Monoacylglycerol lipase) (MAGL)
Q9BQP7	MGME1_HUMAN	Mitochondrial genome maintenance exonuclease 1 (EC 3.1.-.-)
P16455	MGMT_HUMAN	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)
P61326	MGN_HUMAN	Protein mago nashi homolog
P08493	MGP_HUMAN	Matrix Gla protein (MGP) (Cell growth-inhibiting gene 36 protein)
O60291	MGRN1_HUMAN	E3 ubiquitin-protein ligase MGRN1 (EC 2.3.2.27) (Mahogunin RING finger protein 1) (RING finger protein 156) (RING-type E3 ubiquitin transferase MGRN1)
P10620	MGST1_HUMAN	Microsomal glutathione S-transferase 1 (Microsomal GST-1) (EC 2.5.1.18) (Microsomal GST-I)
O14880	MGST3_HUMAN	Microsomal glutathione S-transferase 3 (Microsomal GST-3) (EC 2.5.1.18) (Microsomal GST-III)
Q9UM21	MGT4A_HUMAN	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVa) (GlcNAc-T IVa) (GnT-IVa) (N-acetylglucosaminyltransferase IVa) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVa) [Cleaved into: Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A soluble form]
Q09328	MGT5A_HUMAN	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase) (GlcNAc-T V) (GNT-V) (Mannoside acetylglucosaminyltransferase 5) (N-acetylglucosaminyl-transferase V)
A9UHW6	MI4GD_HUMAN	MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1)
Q5JRA6	TGO1_HUMAN	Transport and Golgi organization protein 1 homolog (TANGO1) (C219-reactive peptide) (D320) (Melanoma inhibitory activity protein 3)
Q8N4Q1	MIA40_HUMAN	Mitochondrial intermembrane space import and assembly protein 40 (Coiled-coil-helix-coiled-coil-helix domain-containing protein 4)
Q86YT6	MIB1_HUMAN	E3 ubiquitin-protein ligase MIB1 (EC 2.3.2.27) (DAPK-interacting protein 1) (DIP-1) (Mind bomb homolog 1) (RING-type E3 ubiquitin transferase MIB1) (Zinc finger ZZ type with ankyrin repeat domain protein 2)
Q96DM3	RMC1_HUMAN	Regulator of MON1-CCZ1 complex (Colon cancer-associated protein Mic1) (Mic-1) (WD repeat-containing protein 98)
Q8TDZ2	MICA1_HUMAN	[F-actin]-monooxygenase MICAL1 (EC 1.14.13.225) (Molecule interacting with CasL protein 1) (MICAL-1) (NEDD9-interacting protein with calponin homology and LIM domains)
O94851	MICA2_HUMAN	[F-actin]-monooxygenase MICAL2 (EC 1.14.13.225) (Molecule interacting with CasL protein 2) (MICAL-2)
Q7RTP6	MICA3_HUMAN	[F-actin]-monooxygenase MICAL3 (EC 1.14.13.225) (Molecule interacting with CasL protein 3) (MICAL-3)
Q9BPX6	MICU1_HUMAN	Calcium uptake protein 1, mitochondrial (Atopy-related autoantigen CALC) (ara CALC) (Calcium-binding atopy-related autoantigen 1) (allergen Hom s 4)
Q8IYU8	MICU2_HUMAN	Calcium uptake protein 2, mitochondrial (EF-hand domain-containing family member A1)
Q9NQG6	MID51_HUMAN	Mitochondrial dynamics protein MID51 (Mitochondrial dynamics protein of 51 kDa) (Mitochondrial elongation factor 1) (Smith-Magenis syndrome chromosomal region candidate gene 7 protein-like) (SMCR7-like protein)
Q9BRT3	MIEN1_HUMAN	Migration and invasion enhancer 1 (HBV X-transactivated gene 4 protein) (HBV XAg-transactivated protein 4) (Protein C35)
Q8N108	MIER1_HUMAN	Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1) (hMi-er1)
P14174	MIF_HUMAN	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)
Q8N3F8	MILK1_HUMAN	MICAL-like protein 1 (Molecule interacting with Rab13) (MIRab13)
Q8IY33	MILK2_HUMAN	MICAL-like protein 2 (Junctional Rab13-binding protein) (Molecule interacting with CasL-like 2) (MICAL-L2)
Q8N183	NDUF2_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 (B17.2-like) (B17.2L) (Mimitin) (Myc-induced mitochondrial protein) (MMTN) (NDUFA12-like protein)
Q8IUF8	RIOX2_HUMAN	Ribosomal oxygenase 2 (60S ribosomal protein L27a histidine hydroxylase) (Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA) (EC 1.14.11.-) (Histone lysine demethylase MINA) (MYC-induced nuclear antigen) (Mineral dust-induced gene protein) (Nucleolar protein 52) (Ribosomal oxygenase MINA) (ROX)
Q8N4C8	MINK1_HUMAN	Misshapen-like kinase 1 (EC 2.7.11.1) (GCK family kinase MiNK) (MAPK/ERK kinase kinase kinase 6) (MEK kinase kinase 6) (MEKKK 6) (Misshapen/NIK-related kinase) (Mitogen-activated protein kinase kinase kinase kinase 6)
Q9UNW1	MINP1_HUMAN	Multiple inositol polyphosphate phosphatase 1 (EC 3.1.3.62) (2,3-bisphosphoglycerate 3-phosphatase) (2,3-BPG phosphatase) (EC 3.1.3.80) (Inositol (1,3,4,5)-tetrakisphosphate 3-phosphatase) (Ins(1,3,4,5)P(4) 3-phosphatase)
Q96T58	MINT_HUMAN	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)
Q9NXC5	MIO_HUMAN	GATOR complex protein MIOS (Missing oocyte meiosis regulator homolog)
Q99797	MIPEP_HUMAN	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)
Q8IXI2	MIRO1_HUMAN	Mitochondrial Rho GTPase 1 (MIRO-1) (hMiro-1) (EC 3.6.5.-) (Rac-GTP-binding protein-like protein) (Ras homolog gene family member T1)
Q8IXI1	MIRO2_HUMAN	Mitochondrial Rho GTPase 2 (MIRO-2) (hMiro-2) (EC 3.6.5.-) (Ras homolog gene family member T2)
Q9H081	MIS12_HUMAN	Protein MIS12 homolog
Q8IVT2	MISP_HUMAN	Mitotic interactor and substrate of PLK1 (Mitotic spindle positioning protein)
P28482	MK01_HUMAN	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)
P27361	MK03_HUMAN	Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)
Q13164	MK07_HUMAN	Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7) (EC 2.7.11.24) (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5)
P45983	MK08_HUMAN	Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)
P45984	MK09_HUMAN	Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9) (EC 2.7.11.24) (JNK-55) (Stress-activated protein kinase 1a) (SAPK1a) (Stress-activated protein kinase JNK2) (c-Jun N-terminal kinase 2)
O15264	MK13_HUMAN	Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4)
Q16539	MK14_HUMAN	Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (Cytokine suppressive anti-inflammatory drug-binding protein) (CSAID-binding protein) (CSBP) (MAP kinase MXI2) (MAX-interacting protein 2) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha) (Stress-activated protein kinase 2a) (SAPK2a)
Q9BYG3	MK67I_HUMAN	MKI67 FHA domain-interacting nucleolar phosphoprotein (Nucleolar phosphoprotein Nopp34) (Nucleolar protein interacting with the FHA domain of pKI-67) (hNIFK)
P21741	MK_HUMAN	Midkine (MK) (Amphiregulin-associated protein) (ARAP) (Midgestation and kidney protein) (Neurite outgrowth-promoting factor 2) (Neurite outgrowth-promoting protein)
Q969V6	MKL1_HUMAN	MKL/myocardin-like protein 1 (Megakaryoblastic leukemia 1 protein) (Megakaryocytic acute leukemia protein) (Myocardin-related transcription factor A) (MRTF-A)
Q9ULH7	MKL2_HUMAN	MKL/myocardin-like protein 2 (Megakaryoblastic leukemia 2) (Myocardin-related transcription factor B) (MRTF-B)
Q9UL63	MKLN1_HUMAN	Muskelin
Q9BUB5	MKNK1_HUMAN	MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 1) (MAPK signal-integrating kinase 1) (Mnk1)
Q9H000	MKRN2_HUMAN	Probable E3 ubiquitin-protein ligase makorin-2 (EC 2.3.2.27) (RING finger protein 62) (RING-type E3 ubiquitin transferase makorin-2)
O14950	ML12B_HUMAN	Myosin regulatory light chain 12B (MLC-2A) (MLC-2) (Myosin regulatory light chain 2-B, smooth muscle isoform) (Myosin regulatory light chain 20 kDa) (MLC20) (Myosin regulatory light chain MRLC2) (SHUJUN-1)
Q14165	MLEC_HUMAN	Malectin
Q15773	MLF2_HUMAN	Myeloid leukemia factor 2 (Myelodysplasia-myeloid leukemia factor 2)
P40692	MLH1_HUMAN	DNA mismatch repair protein Mlh1 (MutL protein homolog 1)
Q8NB16	MLKL_HUMAN	Mixed lineage kinase domain-like protein (hMLKL)
Q9NYL2	M3K20_HUMAN	Mitogen-activated protein kinase kinase kinase 20 (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mitogen-activated protein kinase kinase kinase MLT) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)
Q9UH92	MLX_HUMAN	Max-like protein X (Class D basic helix-loop-helix protein 13) (bHLHd13) (Max-like bHLHZip protein) (Protein BigMax) (Transcription factor-like protein 4)
Q9HAP2	MLXIP_HUMAN	MLX-interacting protein (Class E basic helix-loop-helix protein 36) (bHLHe36) (Transcriptional activator MondoA)
Q8IVH4	MMAA_HUMAN	Methylmalonic aciduria type A protein, mitochondrial (EC 3.6.-.-)
Q96EY8	MMAB_HUMAN	Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial (EC 2.5.1.17) (Cob(I)alamin adenosyltransferase) (Methylmalonic aciduria type B protein)
Q8N4V1	MMGT1_HUMAN	Membrane magnesium transporter 1 (ER membrane protein complex subunit 5) (Transmembrane protein 32)
P50281	MMP14_HUMAN	Matrix metalloproteinase-14 (MMP-14) (EC 3.4.24.80) (MMP-X1) (Membrane-type matrix metalloproteinase 1) (MT-MMP 1) (MTMMP1) (Membrane-type-1 matrix metalloproteinase) (MT1-MMP) (MT1MMP)
Q96T76	MMS19_HUMAN	MMS19 nucleotide excision repair protein homolog (hMMS19) (MET18 homolog) (MMS19-like protein)
Q02252	MMSA_HUMAN	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial (MMSDH) (Malonate-semialdehyde dehydrogenase [acylating]) (EC 1.2.1.18) (EC 1.2.1.27) (Aldehyde dehydrogenase family 6 member A1)
Q9BU76	MMTA2_HUMAN	Multiple myeloma tumor-associated protein 2 (hMMTAG2)
Q9UBU8	MO4L1_HUMAN	Mortality factor 4-like protein 1 (MORF-related gene 15 protein) (Protein MSL3-1) (Transcription factor-like protein MRG15)
Q7L9L4	MOB1B_HUMAN	MOB kinase activator 1B (Mob1 homolog 1A) (Mob1A) (Mob1B) (Mps one binder kinase activator-like 1A)
Q70IA6	MOB2_HUMAN	MOB kinase activator 2 (HCCA2) (Mob2 homolog) (Mps one binder kinase activator-like 2)
O96007	MOC2B_HUMAN	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (MOCO1-B) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B) (Molybdopterin-synthase large subunit) (MPT synthase large subunit)
Q96EN8	MOCOS_HUMAN	Molybdenum cofactor sulfurase (MCS) (MOS) (MoCo sulfurase) (hMCS) (EC 2.8.1.9) (Molybdenum cofactor sulfurtransferase)
O95396	MOCS3_HUMAN	Adenylyltransferase and sulfurtransferase MOCS3 (Molybdenum cofactor synthesis protein 3) (Molybdopterin synthase sulfurylase) (MPT synthase sulfurylase) [Includes: Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (Adenylyltransferase MOCS3) (Sulfur carrier protein MOCS2A adenylyltransferase); Molybdopterin-synthase sulfurtransferase (EC 2.8.1.11) (Sulfur carrier protein MOCS2A sulfurtransferase) (Sulfurtransferase MOCS3)]
Q9H3H1	MOD5_HUMAN	tRNA dimethylallyltransferase (EC 2.5.1.75) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (hGRO1) (tRNA isopentenyltransferase 1) (IPTase)
P26038	MOES_HUMAN	Moesin (Membrane-organizing extension spike protein)
Q13724	MOGS_HUMAN	Mannosyl-oligosaccharide glucosidase (EC 3.2.1.106) (Processing A-glucosidase I)
Q7L1V2	MON1B_HUMAN	Vacuolar fusion protein MON1 homolog B (HSV-1 stimulation-related gene 1 protein) (HSV-I stimulating-related protein)
Q9Y6X9	MORC2_HUMAN	MORC family CW-type zinc finger protein 2 (Zinc finger CW-type coiled-coil domain protein 1)
Q14149	MORC3_HUMAN	MORC family CW-type zinc finger protein 3 (Nuclear matrix protein 2) (Zinc finger CW-type coiled-coil domain protein 3)
P53985	MOT1_HUMAN	Monocarboxylate transporter 1 (MCT 1) (Solute carrier family 16 member 1)
O15427	MOT4_HUMAN	Monocarboxylate transporter 4 (MCT 4) (Solute carrier family 16 member 3)
Q9HCE1	MOV10_HUMAN	Putative helicase MOV-10 (EC 3.6.4.13) (Armitage homolog) (Moloney leukemia virus 10 protein)
Q02750	MP2K1_HUMAN	Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1)
P36507	MP2K2_HUMAN	Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2)
P46734	MP2K3_HUMAN	Dual specificity mitogen-activated protein kinase kinase 3 (MAP kinase kinase 3) (MAPKK 3) (EC 2.7.12.2) (MAPK/ERK kinase 3) (MEK 3) (Stress-activated protein kinase kinase 2) (SAPK kinase 2) (SAPKK-2) (SAPKK2)
P45985	MP2K4_HUMAN	Dual specificity mitogen-activated protein kinase kinase 4 (MAP kinase kinase 4) (MAPKK 4) (EC 2.7.12.2) (JNK-activating kinase 1) (MAPK/ERK kinase 4) (MEK 4) (SAPK/ERK kinase 1) (SEK1) (Stress-activated protein kinase kinase 1) (SAPK kinase 1) (SAPKK-1) (SAPKK1) (c-Jun N-terminal kinase kinase 1) (JNKK)
Q13163	MP2K5_HUMAN	Dual specificity mitogen-activated protein kinase kinase 5 (MAP kinase kinase 5) (MAPKK 5) (EC 2.7.12.2) (MAPK/ERK kinase 5) (MEK 5)
P52564	MP2K6_HUMAN	Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6) (EC 2.7.12.2) (MAPK/ERK kinase 6) (MEK 6) (Stress-activated protein kinase kinase 3) (SAPK kinase 3) (SAPKK-3) (SAPKK3)
O14733	MP2K7_HUMAN	Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7) (EC 2.7.12.2) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2)
A6NCE7	MP3B2_HUMAN	Microtubule-associated proteins 1A/1B light chain 3 beta 2 (Microtubule-associated proteins 1A/1B light chain 3B-like)
O95563	MPC2_HUMAN	Mitochondrial pyruvate carrier 2 (Brain protein 44)
Q00325	MPCP_HUMAN	Phosphate carrier protein, mitochondrial (Phosphate transport protein) (PTP) (Solute carrier family 25 member 3)
O75970	MPDZ_HUMAN	Multiple PDZ domain protein (Multi-PDZ domain protein 1)
Q99547	MPH6_HUMAN	M-phase phosphoprotein 6
P34949	MPI_HUMAN	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)
O00566	MPP10_HUMAN	U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10)
Q8N3R9	MPP5_HUMAN	MAGUK p55 subfamily member 5
Q9NZW5	MPP6_HUMAN	MAGUK p55 subfamily member 6 (Veli-associated MAGUK 1) (VAM-1)
Q5T2T1	MPP7_HUMAN	MAGUK p55 subfamily member 7
Q99549	MPP8_HUMAN	M-phase phosphoprotein 8 (Two hybrid-associated protein 3 with RanBPM) (Twa3)
Q10713	MPPA_HUMAN	Mitochondrial-processing peptidase subunit alpha (EC 3.4.24.64) (Alpha-MPP) (P-55)
O75439	MPPB_HUMAN	Mitochondrial-processing peptidase subunit beta (EC 3.4.24.64) (Beta-MPP) (P-52)
P20645	MPRD_HUMAN	Cation-dependent mannose-6-phosphate receptor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46)
P11717	MPRI_HUMAN	Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222)
Q6WCQ1	MPRIP_HUMAN	Myosin phosphatase Rho-interacting protein (M-RIP) (Rho-interacting protein 3) (RIP3) (p116Rip)
O75352	MPU1_HUMAN	Mannose-P-dolichol utilization defect 1 protein (Suppressor of Lec15 and Lec35 glycosylation mutation homolog) (SL15)
O95297	MPZL1_HUMAN	Myelin protein zero-like protein 1 (Protein zero-related)
Q9UBG0	MRC2_HUMAN	C-type mannose receptor 2 (C-type lectin domain family 13 member E) (Endocytic receptor 180) (Macrophage mannose receptor 2) (Urokinase-type plasminogen activator receptor-associated protein) (UPAR-associated protein) (Urokinase receptor-associated protein) (CD antigen CD280)
Q5VT25	MRCKA_HUMAN	Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha)
Q9Y5S2	MRCKB_HUMAN	Serine/threonine-protein kinase MRCK beta (EC 2.7.11.1) (CDC42-binding protein kinase beta) (CDC42BP-beta) (DMPK-like beta) (Myotonic dystrophy kinase-related CDC42-binding kinase beta) (MRCK beta) (Myotonic dystrophy protein kinase-like beta)
Q6DT37	MRCKG_HUMAN	Serine/threonine-protein kinase MRCK gamma (EC 2.7.11.1) (CDC42-binding protein kinase gamma) (DMPK-like gamma) (Myotonic dystrophy kinase-related CDC42-binding kinase gamma) (MRCK gamma) (MRCKG) (Myotonic dystrophy protein kinase-like gamma) (Myotonic dystrophy protein kinase-like alpha)
P49959	MRE11_HUMAN	Double-strand break repair protein MRE11 (Double-strand break repair protein MRE11A) (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A)
Q9NV56	MRGBP_HUMAN	MRG/MORF4L-binding protein (MRG-binding protein) (Up-regulated in colon cancer 4) (Urcc4)
Q6IN84	MRM1_HUMAN	rRNA methyltransferase 1, mitochondrial (EC 2.1.1.-) (16S rRNA (guanosine(1145)-2'-O)-methyltransferase) (16S rRNA [Gm1145] 2'-O-methyltransferase)
Q8NDA8	MROH1_HUMAN	Maestro heat-like repeat-containing protein family member 1 (HEAT repeat-containing protein 7A)
P33527	MRP1_HUMAN	Multidrug resistance-associated protein 1 (ATP-binding cassette sub-family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter)
Q92887	MRP2_HUMAN	Canalicular multispecific organic anion transporter 1 (ATP-binding cassette sub-family C member 2) (Canalicular multidrug resistance protein) (Multidrug resistance-associated protein 2)
O15438	MRP3_HUMAN	Canalicular multispecific organic anion transporter 2 (ATP-binding cassette sub-family C member 3) (Multi-specific organic anion transporter D) (MOAT-D) (Multidrug resistance-associated protein 3)
O15439	MRP4_HUMAN	Multidrug resistance-associated protein 4 (ATP-binding cassette sub-family C member 4) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B)
O15440	MRP5_HUMAN	Multidrug resistance-associated protein 5 (ATP-binding cassette sub-family C member 5) (Multi-specific organic anion transporter C) (MOAT-C) (SMRP) (pABC11)
Q5T3U5	MRP7_HUMAN	Multidrug resistance-associated protein 7 (ATP-binding cassette sub-family C member 10)
P49006	MRP_HUMAN	MARCKS-related protein (MARCKS-like protein 1) (Macrophage myristoylated alanine-rich C kinase substrate) (Mac-MARCKS) (MacMARCKS)
Q7L0Y3	TM10C_HUMAN	tRNA methyltransferase 10 homolog C (HBV pre-S2 trans-regulated protein 2) (Mitochondrial ribonuclease P protein 1) (Mitochondrial RNase P protein 1) (RNA (guanine-9-)-methyltransferase domain-containing protein 1) (Renal carcinoma antigen NY-REN-49) (mRNA methyladenosine-N(1)-methyltransferase) (EC 2.1.1.-) (tRNA (adenine(9)-N(1))-methyltransferase) (EC 2.1.1.218) (tRNA (guanine(9)-N(1))-methyltransferase) (EC 2.1.1.221)
O15091	MRPP3_HUMAN	Mitochondrial ribonuclease P catalytic subunit (EC 3.1.26.5) (Mitochondrial ribonuclease P protein 3) (Mitochondrial RNase P protein 3)
Q9HD23	MRS2_HUMAN	Magnesium transporter MRS2 homolog, mitochondrial (MRS2-like protein)
Q9UKD2	MRT4_HUMAN	mRNA turnover protein 4 homolog (Ribosome assembly factor MRTO4)
P43246	MSH2_HUMAN	DNA mismatch repair protein Msh2 (hMSH2) (MutS protein homolog 2)
P20585	MSH3_HUMAN	DNA mismatch repair protein Msh3 (hMSH3) (Divergent upstream protein) (DUP) (Mismatch repair protein 1) (MRP1)
P52701	MSH6_HUMAN	DNA mismatch repair protein Msh6 (hMSH6) (G/T mismatch-binding protein) (GTBP) (GTMBP) (MutS protein homolog 6) (MutS-alpha 160 kDa subunit) (p160)
O43347	MSI1H_HUMAN	RNA-binding protein Musashi homolog 1 (Musashi-1)
Q96DH6	MSI2H_HUMAN	RNA-binding protein Musashi homolog 2 (Musashi-2)
Q68DK7	MSL1_HUMAN	Male-specific lethal 1 homolog (MSL-1) (Male-specific lethal 1-like 1) (MSL1-like 1) (Male-specific lethal-1 homolog 1)
Q15800	MSMO1_HUMAN	Methylsterol monooxygenase 1 (EC 1.14.18.9) (C-4 methylsterol oxidase)
Q8NHP6	MSPD2_HUMAN	Motile sperm domain-containing protein 2
Q9UJ68	MSRA_HUMAN	Mitochondrial peptide methionine sulfoxide reductase (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase) (Protein-methionine-S-oxide reductase) (PMSR)
Q9Y3D2	MSRB2_HUMAN	Methionine-R-sulfoxide reductase B2, mitochondrial (MsrB2) (EC 1.8.4.12) (EC 1.8.4.14)
P47224	MSS4_HUMAN	Guanine nucleotide exchange factor MSS4 (Rab-interacting factor)
Q9BUK6	MSTO1_HUMAN	Protein misato homolog 1
P02795	MT2_HUMAN	Metallothionein-2 (MT-2) (Metallothionein-2A) (Metallothionein-II) (MT-II)
Q13330	MTA1_HUMAN	Metastasis-associated protein MTA1
O94776	MTA2_HUMAN	Metastasis-associated protein MTA2 (Metastasis-associated 1-like 1) (MTA1-L1 protein) (p53 target protein in deacetylase complex)
Q9BTC8	MTA3_HUMAN	Metastasis-associated protein MTA3
Q86U44	MTA70_HUMAN	N6-adenosine-methyltransferase catalytic subunit (EC 2.1.1.62) (Methyltransferase-like protein 3) (hMETTL3) (N6-adenosine-methyltransferase 70 kDa subunit) (MT-A70)
P11137	MTAP2_HUMAN	Microtubule-associated protein 2 (MAP-2)
Q13126	MTAP_HUMAN	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)
Q9NZJ7	MTCH1_HUMAN	Mitochondrial carrier homolog 1 (Presenilin-associated protein)
Q9Y6C9	MTCH2_HUMAN	Mitochondrial carrier homolog 2 (Met-induced mitochondrial protein)
P13995	MTDC_HUMAN	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial [Includes: NAD-dependent methylenetetrahydrofolate dehydrogenase (EC 1.5.1.15); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]
Q9UDX5	MTFP1_HUMAN	Mitochondrial fission process protein 1 (Mitochondrial 18 kDa protein) (MTP18)
